TopK,EntityID,F1,MAP
5,1,0.4,0.3333333333333333
5,2,0.4,0.15714285714285714
5,3,0.0,0.0
5,4,0.8,0.7333333333333333
5,5,0.6,0.38571428571428573
5,6,1.0,1.0
5,7,0.8,0.6533333333333333
5,8,0.8,0.76
5,9,0.6,0.52
5,10,0.8,0.5166666666666666
5,11,0.4,0.15
5,12,0.8,0.5433333333333333
5,13,0.8,0.6833333333333333
5,14,1.0,1.0
5,15,0.2,0.1
5,16,0.4,0.13
5,17,0.6,0.35238095238095235
5,18,0.8,0.5533333333333333
5,19,0.6,0.3333333333333333
5,20,0.8,0.8
5,21,1.0,1.0
5,22,0.8,0.5533333333333333
5,23,1.0,1.0
5,24,0.4,0.25
5,25,0.8,0.48666666666666664
5,26,0.8,0.71
5,27,0.8,0.76
5,28,0.8,0.5866666666666667
5,29,1.0,1.0
5,30,1.0,1.0
5,31,0.8,0.6533333333333333
5,32,0.8,0.48666666666666664
5,33,1.0,1.0
5,34,1.0,1.0
5,35,0.4,0.3
5,36,1.0,1.0
5,37,1.0,1.0
5,38,0.8,0.6433333333333333
5,39,0.2,0.1
5,40,1.0,1.0
5,41,1.0,1.0
5,42,0.8,0.48666666666666664
5,43,0.4,0.11666666666666665
5,44,0.6,0.38571428571428573
5,45,0.6,0.35238095238095235
5,46,1.0,1.0
5,47,0.6,0.2523809523809524
5,48,0.8,0.6433333333333333
5,49,0.8,0.5433333333333333
5,50,0.8,0.4533333333333333
10,1,0.7,0.3805128205128205
10,2,0.8,0.7004365079365078
10,3,0.8,0.5741558441558442
10,4,0.3,0.043404634581105175
10,5,0.4,0.1738636363636364
10,6,0.0,0.0
10,7,0.9,0.766024531024531
10,8,0.7,0.3367032967032967
10,9,0.8,0.7195526695526695
10,10,0.6,0.33226495726495725
10,11,0.5,0.149017094017094
10,12,0.9,0.7983658008658008
10,13,0.8,0.6708730158730158
10,14,0.8,0.5361363636363637
10,15,0.8,0.5666125541125542
10,16,0.7,0.5843073593073593
10,17,1.0,1.0
10,18,0.7,0.4411477411477411
10,19,0.8,0.736547619047619
10,20,0.9,0.8272546897546897
10,21,0.7,0.36013403263403265
10,22,0.8,0.696969696969697
10,23,0.8,0.5152272727272728
10,24,0.4,0.12474358974358975
10,25,1.0,1.0
10,26,0.7,0.4163095238095238
10,27,0.8,0.5492063492063493
10,28,0.9,0.6900324675324676
10,29,0.7,0.5255772005772005
10,30,0.9,0.89
10,31,0.1,0.02
10,32,0.7,0.4255128205128205
10,33,0.4,0.0761111111111111
10,34,0.8,0.5264285714285715
10,35,0.1,0.0125
10,36,0.6,0.36436507936507934
10,37,0.6,0.3196428571428572
10,38,0.6,0.4449633699633699
10,39,0.9,0.8086435786435786
10,40,0.9,0.7983658008658008
10,41,0.9,0.7076911976911977
10,42,0.4,0.13999999999999999
10,43,1.0,1.0
10,44,0.7,0.45384615384615384
10,45,0.8,0.5861363636363637
10,46,0.9,0.6576911976911977
10,47,0.7,0.44801282051282054
10,48,0.6,0.21215201465201466
10,49,0.9,0.6626911976911977
10,50,0.6,0.24465201465201464
