entity,fmeasure_rel,fmeasure_norel,ndcg,map_rel,map_norel
<http://dbpedia.org/resource/3WAY_FM>,0.4166666666666667,0.4482456140350877,0.7799082337019198,0.20532407407407408,0.19604423868312756
<http://dbpedia.org/resource/Adrian_Griffin>,0.03333333333333334,0.03333333333333334,0.31598177738436356,0.0075,0.005158730158730159
<http://dbpedia.org/resource/Andrew_Kippis>,0.15000000000000002,0.15000000000000002,0.6281649475693718,0.024947089947089943,0.04642857142857143
<http://dbpedia.org/resource/Anthony_Beaumont-Dark>,0.3166666666666667,0.3166666666666667,1.0,0.17615079365079367,0.10917989417989417
<http://dbpedia.org/resource/Dallas_Keuchel>,0.26666666666666666,0.3280701754385965,0.7385567757549499,0.0825462962962963,0.13613168724279834
<http://dbpedia.org/resource/E._K._Mawlong>,0.38333333333333347,0.38333333333333347,1.0,0.14913359788359787,0.25145502645502643
<http://dbpedia.org/resource/Finn_Schiander>,0.26666666666666666,0.3342105263157895,0.9052116356304493,0.13125,0.17432539682539683
<http://dbpedia.org/resource/Hagar_Wilde>,0.23333333333333336,0.23333333333333336,0.6325414799409712,0.09529100529100527,0.07416666666666667
<http://dbpedia.org/resource/Ludwigsburg_University>,0.3,0.3,0.8268133666517739,0.09203042328042327,0.11203703703703705
<http://dbpedia.org/resource/Roderick_Carr>,0.13333333333333333,0.13333333333333333,0.5670429581667767,0.0628968253968254,0.040178571428571425
<http://dbpedia.org/resource/2009–10_Swiss_Cup>,0.5,0.5,0.7948833326720566,0.3573544973544973,0.2763425925925926
<http://dbpedia.org/resource/2011_Kor_Royal_Cup>,0.4833333333333334,0.5087719298245613,1.0,0.345734126984127,0.32596340388007056
<http://dbpedia.org/resource/2011_League_of_Ireland_Cup_Final>,0.41666666666666674,0.4605263157894737,1.0,0.19964285714285712,0.3043577307466196
<http://dbpedia.org/resource/2011_Sparta_Prague_Open>,0.4833333333333334,0.4833333333333334,0.914856882358379,0.33402777777777776,0.2546296296296296
<http://dbpedia.org/resource/2012–13_UEFA_Champions_League>,0.7166666666666667,0.7166666666666667,1.0,0.5679960317460316,0.5624933862433863
