entity,fmeasure_rel,fmeasure_norel,ndcg,map_rel,map_norel
<http://data.linkedmdb.org/resource/film/12398>,0.10000000000000002,0.10000000000000002,0.2772734273550482,0.049999999999999996,0.06666666666666667
<http://data.linkedmdb.org/resource/film/12710>,0.10000000000000002,0.10370370370370373,0.0,0.03888888888888889,0.048611111111111105
<http://data.linkedmdb.org/resource/film/14299>,0.20000000000000004,0.20000000000000004,0.0,0.07333333333333333,0.09999999999999999
<http://data.linkedmdb.org/resource/film/14438>,0.1666666666666667,0.3370370370370371,0.0,0.16666666666666666,0.2283333333333333
<http://data.linkedmdb.org/resource/film/2108>,0.10000000000000002,0.10370370370370373,0.13120507751234178,0.03333333333333333,0.027083333333333334
<http://data.linkedmdb.org/resource/film/2381>,0.13333333333333336,0.13333333333333336,0.0,0.08666666666666667,0.08666666666666667
<http://data.linkedmdb.org/resource/film/2572>,0.43333333333333335,0.43333333333333335,0.6164336326286642,0.35833333333333334,0.2922222222222222
<http://data.linkedmdb.org/resource/film/4053>,0.0,0.0,0.0,0.0,0.0
<http://data.linkedmdb.org/resource/film/41006>,0.23333333333333336,0.23703703703703707,0.6164336326286642,0.21333333333333335,0.09875
<http://data.linkedmdb.org/resource/film/41408>,0.2666666666666667,0.2740740740740741,0.8304198973631918,0.15333333333333332,0.125
<http://data.linkedmdb.org/resource/film/41573>,0.10000000000000002,0.10000000000000002,0.34519134224686926,0.03888888888888889,0.08333333333333333
<http://data.linkedmdb.org/resource/film/4501>,0.0,0.0,0.13120507751234178,0.0,0.0
<http://data.linkedmdb.org/resource/film/5232>,0.1666666666666667,0.1666666666666667,0.0,0.06666666666666667,0.08055555555555556
<http://data.linkedmdb.org/resource/film/6191>,0.1666666666666667,0.1666666666666667,0.13120507751234178,0.05833333333333333,0.05277777777777778
<http://data.linkedmdb.org/resource/film/6213>,0.06666666666666668,0.06666666666666668,0.0,0.03333333333333333,0.013333333333333334
<http://data.linkedmdb.org/resource/film/6468>,0.2333333333333334,0.30370370370370375,0.0,0.14444444444444446,0.23611111111111108
<http://data.linkedmdb.org/resource/film/70866>,0.06666666666666668,0.1666666666666667,0.36005461457723387,0.03333333333333333,0.03333333333333333
<http://data.linkedmdb.org/resource/film/7348>,0.10000000000000002,0.10000000000000002,0.13120507751234178,0.02777777777777778,0.030000000000000002
<http://data.linkedmdb.org/resource/film/7963>,0.2666666666666667,0.2666666666666667,0.2772734273550482,0.2222222222222222,0.09666666666666668
<http://data.linkedmdb.org/resource/film/8446>,0.13333333333333336,0.13333333333333336,0.2772734273550482,0.036111111111111115,0.061111111111111116
<http://data.linkedmdb.org/resource/director/10100>,0.0,0.0,0.13120507751234178,0.0,0.0
<http://data.linkedmdb.org/resource/director/10846>,0.30000000000000004,0.30000000000000004,0.13120507751234178,0.10333333333333335,0.11666666666666668
<http://data.linkedmdb.org/resource/actor/29369>,0.0,0.0,0.30078518014914984,0.0,0.0
<http://data.linkedmdb.org/resource/actor/30569>,0.03333333333333334,0.03333333333333334,0.3391602052736161,0.03333333333333333,0.006666666666666667
<http://data.linkedmdb.org/resource/actor/30598>,0.0,0.0,0.1460683498427064,0.0,0.0
<http://data.linkedmdb.org/resource/actor/31707>,0.13333333333333336,0.16666666666666666,0.529634717214042,0.07222222222222223,0.08888888888888889
<http://data.linkedmdb.org/resource/actor/32500>,0.13333333333333336,0.13333333333333336,0.16958010263680806,0.10000000000000002,0.07222222222222223
<http://data.linkedmdb.org/resource/actor/32648>,0.3333333333333334,0.3333333333333334,0.5087403079104241,0.3,0.28888888888888886
<http://data.linkedmdb.org/resource/actor/33137>,0.0,0.0,0.16958010263680806,0.0,0.0
<http://data.linkedmdb.org/resource/actor/34577>,0.26666666666666666,0.26666666666666666,0.6843515475204854,0.11555555555555556,0.12222222222222222
<http://data.linkedmdb.org/resource/actor/36141>,0.26666666666666666,0.26666666666666666,0.13120507751234178,0.2333333333333333,0.10000000000000002
<http://data.linkedmdb.org/resource/actor/38225>,0.03333333333333334,0.03333333333333334,0.6548086577531306,0.011111111111111112,0.016666666666666666
<http://data.linkedmdb.org/resource/actor/38875>,0.03333333333333334,0.03333333333333334,0.3391602052736161,0.03333333333333333,0.011111111111111112
<http://data.linkedmdb.org/resource/actor/39725>,0.23333333333333336,0.23333333333333336,0.5087403079104241,0.11666666666666665,0.11666666666666665
<http://data.linkedmdb.org/resource/director/416>,0.10000000000000002,0.10000000000000002,0.8304198973631918,0.05666666666666667,0.061111111111111116
<http://data.linkedmdb.org/resource/actor/43265>,0.20000000000000004,0.20000000000000004,0.3391602052736161,0.09999999999999999,0.049999999999999996
<http://data.linkedmdb.org/resource/actor/52869>,0.03333333333333334,0.03333333333333334,0.49125969208957565,0.008333333333333333,0.016666666666666666
<http://data.linkedmdb.org/resource/actor/62725>,0.3,0.3037037037037037,0.30078518014914984,0.1361111111111111,0.09777777777777778
<http://data.linkedmdb.org/resource/actor/67878>,0.10000000000000002,0.10000000000000002,0.16958010263680806,0.02,0.025000000000000005
<http://data.linkedmdb.org/resource/director/8669>,0.20000000000000004,0.20000000000000004,0.36005461457723387,0.10000000000000002,0.16666666666666666
<http://data.linkedmdb.org/resource/film/1338>,0.23333333333333336,0.3333333333333333,0.16958010263680806,0.125,0.21666666666666667
<http://data.linkedmdb.org/resource/film/16986>,0.0,0.0,0.0,0.0,0.0
<http://data.linkedmdb.org/resource/film/44555>,0.13333333333333336,0.1666666666666667,0.0,0.08333333333333333,0.12500000000000003
<http://data.linkedmdb.org/resource/film/49>,0.10000000000000002,0.20000000000000004,0.13120507751234178,0.08,0.09999999999999999
<http://data.linkedmdb.org/resource/film/5089>,0.1666666666666667,0.1666666666666667,0.0,0.14,0.14
<http://data.linkedmdb.org/resource/director/14418>,0.1666666666666667,0.1666666666666667,0.31564845247951445,0.075,0.07555555555555556
<http://data.linkedmdb.org/resource/actor/30423>,0.2666666666666667,0.2666666666666667,0.6608397947263838,0.13333333333333333,0.11666666666666665
<http://data.linkedmdb.org/resource/actor/47032>,0.10000000000000002,0.10000000000000002,0.6608397947263838,0.044444444444444446,0.03888888888888889
<http://data.linkedmdb.org/resource/actor/47469>,0.1666666666666667,0.1666666666666667,0.8304198973631918,0.08666666666666667,0.042222222222222223
<http://data.linkedmdb.org/resource/director/8424>,0.13333333333333336,0.13333333333333336,0.16958010263680806,0.08,0.03888888888888889
