entity,fmeasure_rel,fmeasure_norel,ndcg,map_rel,map_norel
<http://data.linkedmdb.org/resource/film/12398>,0.20000000000000004,0.20087719298245613,0.45447937127589255,0.05873015873015872,0.1209347442680776
<http://data.linkedmdb.org/resource/film/12710>,0.38333333333333336,0.3907407407407408,0.4899308685417079,0.1601984126984127,0.19660879629629627
<http://data.linkedmdb.org/resource/film/14299>,0.2333333333333334,0.23508771929824565,0.5116508161747902,0.06828703703703705,0.07561507936507937
<http://data.linkedmdb.org/resource/film/14438>,0.25000000000000006,0.3350877192982457,0.3398414932237255,0.14291666666666666,0.2036904761904762
<http://data.linkedmdb.org/resource/film/2108>,0.2833333333333334,0.29035087719298247,0.5142842514302276,0.13277777777777777,0.13671663727219283
<http://data.linkedmdb.org/resource/film/2381>,0.20000000000000004,0.20087719298245618,0.06362078819895167,0.10722222222222222,0.05387125220458553
<http://data.linkedmdb.org/resource/film/2572>,0.41666666666666674,0.42017543859649126,0.70937536504841,0.255489417989418,0.25053130511463845
<http://data.linkedmdb.org/resource/film/4053>,0.15,0.15087719298245614,0.13568544539116625,0.03203703703703703,0.050648148148148144
<http://data.linkedmdb.org/resource/film/41006>,0.5166666666666666,0.5929824561403508,0.933745776545611,0.32798941798941794,0.3504115226337448
<http://data.linkedmdb.org/resource/film/41408>,0.38333333333333336,0.393859649122807,0.7479350596733328,0.19879629629629628,0.18871913580246913
<http://data.linkedmdb.org/resource/film/41573>,0.4666666666666666,0.47894736842105257,0.7695261902392829,0.299755291005291,0.3642504409171076
<http://data.linkedmdb.org/resource/film/4501>,0.1666666666666667,0.16754385964912286,0.4671034547999446,0.06074074074074074,0.0586574074074074
<http://data.linkedmdb.org/resource/film/5232>,0.18333333333333335,0.18771929824561404,0.38634741424626085,0.05704365079365079,0.05825396825396825
<http://data.linkedmdb.org/resource/film/6191>,0.35000000000000003,0.356140350877193,0.40112489502598453,0.1437037037037037,0.1848941798941799
<http://data.linkedmdb.org/resource/film/6213>,0.08333333333333336,0.0842105263157895,0.14201905717762706,0.021851851851851848,0.02037037037037037
<http://data.linkedmdb.org/resource/film/6468>,0.26666666666666666,0.3074074074074074,0.23047380976071702,0.07989417989417989,0.12336309523809523
<http://data.linkedmdb.org/resource/film/70866>,0.4000000000000001,0.4403508771929825,0.6569815082938862,0.2904761904761905,0.16532039976484422
<http://data.linkedmdb.org/resource/film/7348>,0.23333333333333336,0.2517543859649123,0.4105719800676483,0.07805555555555556,0.16608465608465608
<http://data.linkedmdb.org/resource/film/7963>,0.23333333333333336,0.23333333333333336,0.3792377156012897,0.1236111111111111,0.053505291005291
<http://data.linkedmdb.org/resource/film/8446>,0.21666666666666667,0.21666666666666667,0.3277609729266244,0.05992063492063491,0.09811507936507935
<http://data.linkedmdb.org/resource/director/10100>,0.15,0.15,0.47682620352203725,0.06488095238095239,0.04323412698412698
<http://data.linkedmdb.org/resource/director/10846>,0.3333333333333334,0.3333333333333334,0.6618313225363276,0.19127645502645504,0.11338624338624338
<http://data.linkedmdb.org/resource/actor/29369>,0.05000000000000001,0.05000000000000001,0.4016049330257502,0.01875,0.005416666666666667
