entity,fmeasure_rel,fmeasure_norel,ndcg,map_rel,map_norel
<http://dbpedia.org/resource/3WAY_FM>,0.3666666666666667,0.3780701754385965,0.7670273914429263,0.2026851851851852,0.3146707818930041
<http://dbpedia.org/resource/Adrian_Griffin>,0.05000000000000001,0.08333333333333336,0.4252084336260237,0.014166666666666668,0.026984126984126985
<http://dbpedia.org/resource/Andrew_Kippis>,0.08333333333333336,0.08333333333333336,0.07839826897867538,0.010714285714285716,0.011111111111111112
<http://dbpedia.org/resource/Anthony_Beaumont-Dark>,0.11666666666666665,0.13333333333333333,0.2200917662980802,0.0287037037037037,0.05285714285714286
<http://dbpedia.org/resource/Dallas_Keuchel>,0.15000000000000002,0.22280701754385968,0.6785038377365555,0.05000000000000001,0.07829805996472664
<http://dbpedia.org/resource/E._K._Mawlong>,0.3333333333333333,0.3333333333333333,0.9305687780632227,0.2047685185185185,0.130787037037037
<http://dbpedia.org/resource/Finn_Schiander>,0.19999999999999998,0.2692982456140351,0.8364586133797036,0.0738425925925926,0.11718915343915343
<http://dbpedia.org/resource/Hagar_Wilde>,0.16666666666666666,0.16666666666666666,0.5766692999492191,0.08777777777777777,0.05018518518518519
<http://dbpedia.org/resource/Ludwigsburg_University>,0.3666666666666667,0.3666666666666667,0.7827392871477701,0.24027777777777773,0.19158730158730156
<http://dbpedia.org/resource/Roderick_Carr>,0.1666666666666667,0.1666666666666667,0.5045411175298191,0.08513888888888888,0.0471031746031746
<http://dbpedia.org/resource/2009–10_Swiss_Cup>,0.48333333333333334,0.48333333333333334,0.9216017310213245,0.24429232804232803,0.25912698412698404
<http://dbpedia.org/resource/2011_Kor_Royal_Cup>,0.2833333333333334,0.3035087719298246,0.7909506325094736,0.10759259259259259,0.15274911816578485
<http://dbpedia.org/resource/2011_League_of_Ireland_Cup_Final>,0.3333333333333334,0.3754385964912281,0.9052116356304493,0.1809259259259259,0.20673868312757201
<http://dbpedia.org/resource/2011_Sparta_Prague_Open>,0.4166666666666667,0.4166666666666667,0.9052116356304493,0.17950396825396828,0.22776455026455025
<http://dbpedia.org/resource/2012–13_UEFA_Champions_League>,0.6,0.6,0.8200685179888283,0.4106944444444444,0.34702380952380946
<http://dbpedia.org/resource/Battle_of_Bregalnica>,0.1666666666666667,0.1666666666666667,0.3471357245055705,0.04047619047619048,0.02731481481481481
<http://dbpedia.org/resource/Battle_of_Rottofreddo>,0.2833333333333334,0.3359649122807018,0.7453016244178956,0.11875000000000001,0.1787037037037037
<http://dbpedia.org/resource/Burgery_ambush>,0.4000000000000001,0.4000000000000001,0.7065443116025597,0.2436111111111111,0.2524206349206349
<http://dbpedia.org/resource/Massacre_on_34th_Street>,0.3666666666666667,0.3833333333333333,1.0,0.21509259259259259,0.19446428571428567
<http://dbpedia.org/resource/Triathlon_at_the_2000_Summer_Olympics_–_Men's>,0.45,0.45,1.0,0.23838624338624334,0.2076785714285714
<http://dbpedia.org/resource/Akalwadi>,0.5833333333333334,0.5991228070175438,0.9363792118010483,0.4725,0.43043209876543215
<http://dbpedia.org/resource/Chitita>,0.3666666666666667,0.37280701754385964,0.6929852696575346,0.14288359788359786,0.24154320987654318
<http://dbpedia.org/resource/Kuleh_Bayan>,0.4166666666666667,0.4543859649122807,1.0,0.25496031746031744,0.386574074074074
<http://dbpedia.org/resource/Phong_Thạnh_Tây>,0.2333333333333334,0.26842105263157895,0.6911279212606076,0.12819444444444442,0.07944444444444444
<http://dbpedia.org/resource/Reamer_Barn>,0.3166666666666667,0.3333333333333333,0.7015099647232445,0.1923611111111111,0.13938492063492064
<http://dbpedia.org/resource/Richmond–Petersburg_Turnpike>,0.15000000000000002,0.15000000000000002,0.8454256604216017,0.03833333333333334,0.08722222222222221
<http://dbpedia.org/resource/Uelsby>,0.11666666666666668,0.11666666666666668,0.4728935033594544,0.039999999999999994,0.05333333333333332
<http://dbpedia.org/resource/Wehlaberg>,0.41666666666666674,0.4385964912280702,1.0,0.3133664021164021,0.2674007936507936
<http://dbpedia.org/resource/Wernshausen>,0.4166666666666667,0.4166666666666667,1.0,0.2636111111111111,0.24547619047619043
<http://dbpedia.org/resource/Yayoidai_Station>,0.5,0.5,1.0,0.31437830687830687,0.2873809523809524
<http://dbpedia.org/resource/African_grey_hornbill>,0.23333333333333336,0.23333333333333336,0.7827392871477701,0.11638888888888892,0.105
<http://dbpedia.org/resource/Bornean_mountain_ground_squirrel>,0.23333333333333336,0.23333333333333336,0.6235540477207573,0.06593253968253969,0.10293650793650794
