Unnamed: 0,wikidata_code,name,gender,un_region,un_subregion,level1_main_occ,level2_main_occ,level3_main_occ,wiki_readers_2015_2018,ranking_visib_5criteria,total_noccur_links_b
530199,Q182580,Shirley_Temple,Female,America,Northern America,Culture,Culture-core,actor,8803637,659.0,53
1022146,Q294927,Jerry_Lewis,Male,America,Northern America,Culture,Culture-core,film,10804581,609.0,48
2201925,Q8006,Akira_Kurosawa,Male,Asia,Eastern Asia,Culture,Culture-core,film,6623622,273.0,73
147386,Q134333,Roger_Moore,Male,Europe,Western Europe,Culture,Culture-core,actor,14810041,604.0,56
2264892,Q93341,Miles_Davis,Male,America,Northern America,Culture,Culture-core,composer,8143485,305.0,74
1705782,Q5580,Albrecht_Dürer,Male,Europe,Western Europe,Culture,Culture-core,painter,5677862,288.0,110
1301568,Q392,Bob_Dylan,Male,America,Northern America,Culture,Culture-core,singer,25598754,35.0,112
26299,Q104027,Kirk_Douglas,Male,America,Northern America,Culture,Culture-core,film,22812958,665.0,44
94986,Q120993,Amedeo_Modigliani,Male,Europe,Southern Europe,Culture,Culture-core,painter,4628038,799.0,65
36925,Q106481,Alan_Rickman,Male,Europe,Western Europe,Culture,Culture-core,actor,31206666,576.0,53
2221727,Q80938,John_Travolta,Male,America,Northern America,Culture,Culture-core,actor,11792199,566.5,53
1276788,Q3816,George_Sand,Female,Europe,Western Europe,Culture,Culture-core,writer,4399479,624.0,92
1246729,Q37175,Johnny_Depp,Male,America,Northern America,Culture,Culture-core,film,57327096,99.0,68
2230734,Q834621,Bono,Male,Europe,Western Europe,Culture,Culture-core,singer,8333674,573.0,53
1307545,Q395274,Michael_J._Fox,Male,America,Northern America,Culture,Culture-core,actor,21823850,640.0,44
377421,Q1631,Édith_Piaf,Female,Europe,Western Europe,Culture,Culture-core,singer,10941881,325.5,64
2080676,Q7314,Igor_Stravinsky,Male,Europe,Eastern Europe,Culture,Culture-core,composer,4805688,425.0,98
2228812,Q82925,Joseph_Conrad,Male,Europe,Eastern Europe,Culture,Culture-core,writer,3442186,808.0,84
1463365,Q483203,Sting_(musician),Male,Europe,Western Europe,Culture,Culture-core,actor,14396473,325.5,75
1072371,Q30875,Oscar_Wilde,Male,Europe,Western Europe,Culture,Culture-core,poet,17013658,89.0,107
1042469,Q301,El_Greco,Male,Europe,Southern Europe,Culture,Culture-core,painter,3888308,547.5,72
1713944,Q5603,Andy_Warhol,Male,America,Northern America,Culture,Culture-core,film,20733836,87.0,112
304222,Q160149,Mark_Rothko,Male,America,Northern America,Culture,Culture-core,painter,3003422,1755.0,68
1369606,Q44306,Salman_Rushdie,Male,Europe,Western Europe,Culture,Culture-core,writer,7110165,602.5,70
3866,Q102642,Diane_Keaton,Female,America,Northern America,Culture,Culture-core,actor,11371001,454.0,54
2078347,Q7302,George_Frideric_Handel,Male,Europe,Western Europe,Culture,Culture-core,composer,6452052,228.0,99
2202504,Q80069,Megan_Fox,Female,America,Northern America,Culture,Culture-core,actor,22289022,645.0,51
1463735,Q483379,Gwen_Stefani,Female,America,Northern America,Culture,Culture-core,singer,19684860,657.0,47
2229633,Q83155,Jacques-Louis_David,Male,Europe,Western Europe,Culture,Culture-core,painter,3010177,826.0,80
1275379,Q38111,Leonardo_DiCaprio,Male,America,Northern America,Culture,Culture-core,actor,69849984,162.0,58
1796608,Q59215,Robert_Redford,Male,America,Northern America,Culture,Culture-core,actor,16089748,613.0,51
1190224,Q34661,Gustav_Klimt,Male,Europe,Western Europe,Culture,Culture-core,painter,8648267,521.0,74
1345753,Q42745,Rita_Hayworth,Female,America,Northern America,Culture,Culture-core,actor,8030331,506.0,59
531004,Q182804,Karen_Blixen,Female,Europe,Northern Europe,Culture,Culture-core,writer,3306079,1154.0,60
403308,Q166389,Daniel_Day-Lewis,Male,Europe,Western Europe,Culture,Culture-core,actor,16034840,614.0,43
783014,Q23380,Jean-Auguste-Dominique_Ingres,Male,Europe,Western Europe,Culture,Culture-core,painter,1519971,1622.0,81
1317717,Q4028,Paul_Simon,Male,America,Northern America,Culture,Culture-core,singer,9935762,1087.0,49
531749,Q183266,Samuel_Johnson,Male,Europe,Western Europe,Culture,Culture-core,writer,3458331,885.5,76
757938,Q22670,Friedrich_Schiller,Male,Europe,Western Europe,Culture,Culture-core,poet,4993679,483.0,87
468272,Q172678,Samuel_L._Jackson,Male,America,Northern America,Culture,Culture-core,actor,19855032,518.0,50
904451,Q26876,Taylor_Swift,Female,America,Northern America,Culture,Culture-core,singer,42779736,163.0,55
1415284,Q47122,Enrique_Iglesias,Male,Europe,Southern Europe,Culture,Culture-core,singer,19066204,830.0,39
513956,Q180560,Philip_Seymour_Hoffman,Male,America,Northern America,Culture,Culture-core,film,13456075,354.0,55
1241795,Q36970,Jackie_Chan,Male,America,Northern America,Culture,Culture-core,film,37284252,267.5,49
1243959,Q37030,Thomas_Mann,Male,Europe,Western Europe,Culture,Culture-core,novelist,5110440,389.0,79
635837,Q2001,Stanley_Kubrick,Male,America,Northern America,Culture,Culture-core,film,16390247,114.0,77
91554,Q12003,Cher,Female,America,Northern America,Culture,Culture-core,actor,22770646,155.0,60
1416557,Q47152,Mary_Shelley,Female,Europe,Western Europe,Culture,Culture-core,writer,7444854,253.0,82
1064208,Q306403,James_Franco,Male,America,Northern America,Culture,Culture-core,actor,27398906,751.5,43
1318885,Q40572,Heath_Ledger,Male,Oceania,Oceania Western World,Culture,Culture-core,actor,43243856,581.0,40
1273437,Q38082,Lewis_Carroll,Male,Europe,Western Europe,Culture,Culture-core,writer,7721365,332.0,120
