eid,entity,fscore,ap
0,Q101095488,0.6666666666666666,0.5
1,Q100523979,0.0,0.0
2,Q102836755,0.6666666666666666,0.5
3,Q102304075,0.4,0.16666666666666666
4,Q101104183,0.6666666666666666,0.5
5,Q101096603,0.0,0.0
6,Q103894,0.6666666666666666,0.5
7,Q103916,0.28571428571428575,0.1
8,Q101087945,0.6666666666666666,0.5
9,Q101087807,0.0,0.0
10,Q101244527,0.6666666666666666,0.5
11,Q101244429,0.0,0.0
12,Q102429258,0.6666666666666666,0.5
13,Q102421709,0.0,0.0
14,Q103876,0.8,0.6666666666666666
15,Q1011547,0.0,0.0
16,Q101029163,0.6666666666666666,0.5
17,Q101029766,0.0,0.0
18,Q10381794,0.6666666666666666,0.5
19,Q10381796,0.0,0.0
20,Q101133170,0.6666666666666666,0.5
21,Q101134761,0.0,0.0
22,Q103839051,0.6666666666666666,0.5
23,Q103839072,0.0,0.0
24,Q100989077,0.6666666666666666,0.5
25,Q100989084,0.0,0.0
26,Q103949,0.5,0.25
27,Q10071615,0.0,0.0
28,Q102123129,0.8,0.6666666666666666
29,Q100401527,0.0,0.0
30,Q100403181,0.0,0.0
31,Q103646,0.8,0.6666666666666666
32,Q103360,0.0,0.0
33,Q102427,0.0,0.0
34,Q102462,0.6666666666666666,0.38888888888888884
35,Q102346910,0.0,0.0
36,Q101109645,0.6666666666666666,0.5
37,Q101109448,0.0,0.0
38,Q100513077,0.6666666666666666,0.5
39,Q100513475,0.0,0.0
40,Q102272,0.5,0.25
41,Q1028181,0.0,0.0
42,Q10304414,0.6666666666666666,0.5
43,Q10282417,0.0,0.0
44,Q100414979,0.6666666666666666,0.5
45,Q100413018,0.0,0.0
46,Q103845368,0.6666666666666666,0.5
47,Q100937,0.0,0.0
48,Q100877505,0.6666666666666666,0.5
49,Q1026925,0.0,0.0
