Unnamed: 0,wikidata_code,name,gender,un_region,un_subregion,level1_main_occ,level2_main_occ,level3_main_occ,wiki_readers_2015_2018,ranking_visib_5criteria,total_noccur_links_b
1336543,Q42207,Caravaggio,Male,Europe,Southern Europe,Culture,Culture-core,painter,8250219,236.0,80
1893194,Q624,Alessandro_Del_Piero,Male,Europe,Southern Europe,Sports/Games,Sports/Games,football,7692449,3213.0,24
530414,Q182736,Ivan_Lendl,Male,Europe,Western Europe,Sports/Games,Sports/Games,player,3057881,3119.5,27
512906,Q180326,Lilian_Thuram,Male,Europe,Western Europe,Sports/Games,Sports/Games,football,3262435,3171.0,26
1476071,Q489039,Raphaël_Varane,Male,Europe,Western Europe,Sports/Games,Sports/Games,football,6065428,6574.0,19
1230882,Q36322,Jane_Austen,Female,Europe,Western Europe,Culture,Culture-core,writer,13305799,121.0,99
1209428,Q35548,Paul_Cézanne,Male,Europe,Western Europe,Culture,Culture-core,painter,5598947,369.0,89
2138535,Q75866,Rudolf_Hess,Male,Europe,Western Europe,Leadership,Politics,politician,9256285,876.0,41
1465523,Q484909,Clarence_Seedorf,Male,Europe,Western Europe,Sports/Games,Sports/Games,football,4863021,6609.0,19
1369606,Q44306,Salman_Rushdie,Male,Europe,Western Europe,Culture,Culture-core,writer,7110165,602.5,70
647104,Q202237,Landon_Donovan,Male,America,Northern America,Sports/Games,Sports/Games,football,3489807,5029.0,22
72552,Q11662,Steffi_Graf,Female,Europe,Western Europe,Sports/Games,Sports/Games,player,7645028,2285.0,27
1616977,Q53393,Jimmy_Connors,Male,America,Northern America,Sports/Games,Sports/Games,player,3252957,4441.0,23
377421,Q1631,Édith_Piaf,Female,Europe,Western Europe,Culture,Culture-core,singer,10941881,325.5,64
2232117,Q8440,Hugo_Chávez,Male,America,South America,Leadership,Politics,politician,10096007,1223.0,32
1362140,Q43744,Gerd_Müller,Male,Europe,Western Europe,Sports/Games,Sports/Games,football,4860444,3131.0,25
496157,Q175535,Matt_Damon,Male,America,Northern America,Culture,Culture-core,actor,28405624,387.0,50
1778510,Q5816,Mao_Zedong,Male,Asia,Eastern Asia,Leadership,Politics,politician,21328976,70.0,70
180687,Q142794,Neymar,Male,America,South America,Sports/Games,Sports/Games,football,49964584,277.0,47
1991973,Q67964,Roberto_Baggio,Male,Europe,Southern Europe,Sports/Games,Sports/Games,football,6175782,2630.5,26
1377858,Q44980,Alex_Ferguson,Male,Europe,Western Europe,Sports/Games,Sports/Games,football,9456316,2739.0,25
1220375,Q360,Julian_Assange,Male,Oceania,Oceania Western World,Culture,Culture-periphery,journalist,13629825,298.0,53
117659,Q126503,Filippo_Inzaghi,Male,Europe,Southern Europe,Sports/Games,Sports/Games,football,4701799,4533.0,22
2252657,Q9068,Voltaire,Male,Europe,Western Europe,Culture,Culture-core,writer,16594192,51.0,104
1820954,Q60045,Albert_Speer,Male,Europe,Western Europe,Leadership,Politics,politician,6339834,780.0,46
1324403,Q41173,Demi_Lovato,Female,America,Northern America,Culture,Culture-core,actor,32022980,226.5,51
47579,Q109255,Bernard_Hinault,Male,Europe,Western Europe,Sports/Games,Sports/Games,sport,1245984,6550.0,22
104414,Q12325,James_Buchanan,Male,America,Northern America,Leadership,Politics,politician,5104959,1097.0,39
1391415,Q4616,Marilyn_Monroe,Female,America,Northern America,Culture,Culture-core,actor,43262260,34.0,84
68844,Q11576,Raúl_(footballer),Male,Europe,Southern Europe,Sports/Games,Sports/Games,football,6828577,3636.0,23
504557,Q177854,Lorenzo_de'_Medici,Male,Europe,Southern Europe,Leadership,Politics,politician,6166866,883.5,59
1829549,Q6060,50_Cent,Male,America,Northern America,Culture,Culture-core,actor,19560162,259.0,56
