,wikidata_code,name,gender,un_region,un_subregion,level1_main_occ,level2_main_occ,level3_main_occ,wiki_readers_2015_2018,ranking_visib_5criteria,total_noccur_links_b
2140022,Q76,Barack_Obama,Male,America,Northern America,Leadership,Politics,politician,75101432,1.0,117
1201823,Q352,Adolf_Hitler,Male,Europe,Western Europe,Leadership,Politics,politician,97209664,4.0,91
2207963,Q8016,Winston_Churchill,Male,Europe,Western Europe,Leadership,Politics,politician,49218684,7.0,111
1560551,Q517,Napoleon,Male,Europe,Western Europe,Leadership,Politics,politician,49868980,9.0,90
1052293,Q303,Elvis_Presley,Male,America,Northern America,Culture,Culture-core,actor,46304640,10.0,97
174,Q1001,Mahatma_Gandhi,Male,Asia,South Asia incl. Indian Peninsula,Leadership,Politics,politician,54379472,11.0,90
1706571,Q5582,Vincent_van_Gogh,Male,Europe,Western Europe,Culture,Culture-core,painter,34517964,13.0,100
2212182,Q8023,Nelson_Mandela,Male,Africa,Southern Africa,Leadership,Politics,politician,39059480,15.0,85
1710992,Q5593,Pablo_Picasso,Male,Europe,Southern Europe,Culture,Culture-core,painter,36702848,18.5,125
2254452,Q91,Abraham_Lincoln,Male,America,Northern America,Leadership,Politics,politician,42111408,18.5,84
2291069,Q9960,Ronald_Reagan,Male,America,Northern America,Culture,Culture-core,actor,37631824,20.0,81
1777443,Q5809,Che_Guevara,Male,America,South America,Leadership,Politics,politician,38303096,24.0,81
1913439,Q6294,Hillary_Clinton,Female,America,Northern America,Leadership,Politics,politician,40888932,25.0,85
171403,Q1394,Vladimir_Lenin,Male,Europe,Eastern Europe,Leadership,Politics,politician,31005576,29.5,78
2233842,Q855,Joseph_Stalin,Male,Europe,Eastern Europe,Leadership,Politics,politician,47494224,29.5,75
487427,Q1744,Madonna_(entertainer),Female,America,Northern America,Culture,Culture-core,singer,33911644,32.0,95
1632773,Q5383,David_Bowie,Male,Europe,Western Europe,Culture,Culture-core,painter,55206424,32.0,111
665960,Q207,George_W._Bush,Male,America,Northern America,Leadership,Politics,politician,34291544,32.0,76
1391415,Q4616,Marilyn_Monroe,Female,America,Northern America,Culture,Culture-core,actor,43262260,34.0,84
1301568,Q392,Bob_Dylan,Male,America,Northern America,Culture,Culture-core,singer,25598754,35.0,112
1704983,Q5577,Salvador_Dalí,Male,Europe,Southern Europe,Culture,Culture-core,painter,22196088,38.0,113
2280922,Q9696,John_F._Kennedy,Male,America,Northern America,Leadership,Politics,politician,44247124,43.0,72
57394,Q1124,Bill_Clinton,Male,America,Northern America,Leadership,Politics,politician,33340624,46.0,74
57874,Q11256,Fidel_Castro,Male,America,Caribbean,Leadership,Politics,politician,33439336,50.0,71
2252657,Q9068,Voltaire,Male,Europe,Western Europe,Culture,Culture-core,writer,16594192,51.0,104
1747348,Q5686,Charles_Dickens,Male,Europe,Western Europe,Culture,Culture-core,writer,16847468,54.0,107
1951265,Q6527,Jean-Jacques_Rousseau,Male,Europe,Western Europe,Culture,Culture-core,writer,16561200,55.0,90
903948,Q2685,Arnold_Schwarzenegger,Male,Europe,Western Europe,Culture,Culture-core,actor,49880844,56.0,72
616407,Q19848,Lady_Gaga,Female,America,Northern America,Culture,Culture-core,singer,43217868,58.0,64
89929,Q11975,Britney_Spears,Female,America,Northern America,Culture,Culture-core,singer,27007422,59.0,76
787494,Q23559,Benito_Mussolini,Male,Europe,Southern Europe,Leadership,Politics,politician,25098268,62.0,67
170388,Q13909,Angelina_Jolie,Female,America,Northern America,Culture,Culture-core,actor,50690528,68.0,66
1778510,Q5816,Mao_Zedong,Male,Asia,Eastern Asia,Leadership,Politics,politician,21328976,70.0,70
2244471,Q892,J._R._R._Tolkien,Male,Europe,Western Europe,Culture,Culture-core,writer,15893694,74.0,87
1240724,Q36844,Rihanna,Female,America,Caribbean,Culture,Culture-core,singer,39925984,76.5,66
30172,Q1048,Julius_Caesar,Male,Europe,Southern Europe,Leadership,Politics,politician,33141106,78.0,61
1321902,Q40912,Frank_Sinatra,Male,America,Northern America,Culture,Culture-core,actor,27605594,82.5,80
2237779,Q873,Meryl_Streep,Female,America,Northern America,Culture,Culture-core,actor,28552612,86.0,69
1858032,Q615,Lionel_Messi,Male,America,South America,Sports/Games,Sports/Games,football,100513392,88.0,59
1310970,Q39829,Stephen_King,Male,America,Northern America,Culture,Culture-core,writer,28418496,90.0,77
2066475,Q7243,Leo_Tolstoy,Male,Europe,Eastern Europe,Culture,Culture-core,writer,16154057,92.0,100
2230132,Q83287,Selena_Gomez,Female,America,Northern America,Culture,Culture-core,singer,45699548,95.0,63
1798325,Q5928,Jimi_Hendrix,Male,America,Northern America,Culture,Culture-core,singer,21805878,106.0,69
794771,Q23685,Jimmy_Carter,Male,America,Northern America,Leadership,Politics,politician,25905384,109.0,62
2066818,Q7245,Mark_Twain,Male,America,Northern America,Culture,Culture-core,writer,13311106,110.0,107
1176973,Q34012,Marlon_Brando,Male,America,Northern America,Culture,Culture-core,actor,22819020,112.0,65
1742419,Q567,Angela_Merkel,Female,Europe,Western Europe,Leadership,Politics,politician,27613644,113.0,60
70489,Q11613,Harry_S._Truman,Male,America,Northern America,Leadership,Politics,politician,15703522,115.0,65
2274899,Q9588,Richard_Nixon,Male,America,Northern America,Leadership,Politics,politician,26558856,116.0,59
2136104,Q7542,Prince_(musician),Male,America,Northern America,Culture,Culture-core,actor,46583648,117.0,68
1230882,Q36322,Jane_Austen,Female,Europe,Western Europe,Culture,Culture-core,writer,13305799,121.0,99
1321791,Q409,Bob_Marley,Male,America,Caribbean,Culture,Culture-core,singer,33565436,124.0,78
1205929,Q35332,Brad_Pitt,Male,America,Northern America,Culture,Culture-core,actor,43640892,126.0,58
1177736,Q34086,Justin_Bieber,Male,America,Northern America,Culture,Culture-core,singer,54860564,127.0,58
1026518,Q296,Claude_Monet,Male,Europe,Western Europe,Culture,Culture-core,painter,12568474,128.0,97
1190256,Q34670,Albert_Camus,Male,Europe,Western Europe,Culture,Culture-core,writer,11754231,129.0,100
1743908,Q5673,Hans_Christian_Andersen,Male,Europe,Northern Europe,Culture,Culture-core,writer,10792641,132.0,99
32250,Q10520,David_Beckham,Male,Europe,Western Europe,Sports/Games,Sports/Games,football,28011644,135.5,59
121703,Q1276,Leonard_Cohen,Male,America,Northern America,Culture,Culture-core,singer,15148310,135.5,83
1352482,Q43203,Clint_Eastwood,Male,America,Northern America,Culture,Culture-core,actor,37866456,138.0,57
1320204,Q40715,Jennifer_Lopez,Female,America,Northern America,Culture,Culture-core,actor,20264552,139.0,61
2278347,Q9640,Lyndon_B._Johnson,Male,America,Northern America,Leadership,Politics,politician,18026520,140.0,58
1187849,Q34436,Scarlett_Johansson,Female,America,Northern America,Culture,Culture-core,actor,47599048,143.0,58
2117188,Q7416,Margaret_Thatcher,Female,Europe,Western Europe,Leadership,Politics,politician,19809952,144.0,55
1157030,Q33391,Leon_Trotsky,Male,Europe,Eastern Europe,Leadership,Politics,politician,17509540,146.0,60
1058209,Q30487,Mikhail_Gorbachev,Male,Europe,Eastern Europe,Leadership,Politics,politician,18558098,147.0,61
1181741,Q34296,Woodrow_Wilson,Male,America,Northern America,Leadership,Politics,politician,10757202,148.0,85
1265926,Q3772,Quentin_Tarantino,Male,America,Northern America,Culture,Culture-core,actor,33523964,149.0,62
953145,Q2808,Elton_John,Male,Europe,Western Europe,Culture,Culture-core,singer,19556592,150.0,70
1712986,Q5598,Rembrandt,Male,Europe,Western Europe,Culture,Culture-core,painter,9167747,153.0,103
2161361,Q7747,Vladimir_Putin,Male,Europe,Eastern Europe,Leadership,Politics,politician,59589240,154.0,51
91554,Q12003,Cher,Female,America,Northern America,Culture,Culture-core,actor,22770646,155.0,60
1709402,Q5588,Frida_Kahlo,Female,America,Central America,Culture,Culture-core,painter,38787800,156.5,65
1346345,Q42786,Audrey_Hepburn,Female,Europe,Western Europe,Culture,Culture-core,actor,30709368,158.5,65
1219781,Q359442,Bernie_Sanders,Male,America,Northern America,Leadership,Politics,politician,26809464,158.5,56
779469,Q23215,Adele,Female,Europe,Western Europe,Culture,Culture-core,singer,40407504,160.0,57
1275379,Q38111,Leonardo_DiCaprio,Male,America,Northern America,Culture,Culture-core,actor,69849984,162.0,58
904451,Q26876,Taylor_Swift,Female,America,Northern America,Culture,Culture-core,singer,42779736,163.0,55
2066259,Q7241,Rabindranath_Tagore,Male,Asia,South Asia incl. Indian Peninsula,Culture,Culture-core,painter,12684092,166.0,98
1712482,Q5597,Raphael,Male,Europe,Southern Europe,Culture,Culture-core,painter,10076520,169.0,84
1340076,Q4235,Miley_Cyrus,Female,America,Northern America,Culture,Culture-core,singer,33276424,170.0,54
1543944,Q5105,Celine_Dion,Female,America,Northern America,Culture,Culture-core,singer,21852340,173.0,53
278003,Q15869,Freddie_Mercury,Male,Europe,Western Europe,Culture,Culture-core,singer,80061168,177.0,53
786461,Q23505,George_H._W._Bush,Male,America,Northern America,Leadership,Politics,politician,36153512,178.0,52
24573,Q10390,John_McCain,Male,America,Northern America,Leadership,Politics,politician,22743174,179.0,54
68574,Q11571,Cristiano_Ronaldo,Male,Europe,Southern Europe,Sports/Games,Sports/Games,football,133777256,182.0,50
1645468,Q5432,Francisco_Goya,Male,Europe,Southern Europe,Culture,Culture-core,painter,7095266,185.0,97
757192,Q2263,Tom_Hanks,Male,America,Northern America,Culture,Culture-core,actor,17146252,188.0,69
2232145,Q8442,Otto_von_Bismarck,Male,Europe,Western Europe,Leadership,Politics,politician,13415346,190.0,55
1713610,Q56016,Katharine_Hepburn,Female,America,Northern America,Culture,Culture-core,actor,12600853,193.5,65
1185938,Q34389,Whitney_Houston,Female,America,Northern America,Culture,Culture-core,singer,25009546,193.5,55
887719,Q2632,Ringo_Starr,Male,Europe,Western Europe,Culture,Culture-core,actor,14092724,195.0,64
1254078,Q37459,Nicole_Kidman,Female,Oceania,Oceania Western World,Culture,Culture-core,actor,28737372,199.0,55
128472,Q12897,Pelé,Male,America,South America,Sports/Games,Sports/Games,football,28479464,200.0,51
2253824,Q909,Jorge_Luis_Borges,Male,America,South America,Culture,Culture-core,writer,7783319,204.5,84
1196604,Q34981,Isaac_Asimov,Male,America,Northern America,Culture,Culture-core,writer,9863052,206.0,70
2234776,Q8605,Simón_Bolívar,Male,America,South America,Leadership,Politics,politician,16298586,207.0,53
1329069,Q41594,Christina_Aguilera,Female,America,Northern America,Culture,Culture-core,singer,15960360,208.5,54
1392792,Q4636,Barbra_Streisand,Female,America,Northern America,Culture,Culture-core,actor,15089431,210.0,67
91271,Q11998,Kylie_Minogue,Female,Oceania,Oceania Western World,Culture,Culture-core,actor,12752900,213.5,58
844149,Q24829,Orson_Welles,Male,America,Northern America,Culture,Culture-core,actor,9545742,213.5,102
1301865,Q3925,Grace_Kelly,Female,America,Northern America,Culture,Culture-core,actor,19176164,215.0,63
1391016,Q4612,Marlene_Dietrich,Female,Europe,Western Europe,Culture,Culture-core,actor,8661559,217.0,73
1012444,Q29179,Francisco_Franco,Male,Europe,Southern Europe,Leadership,Politics,politician,15498197,218.0,53
1342132,Q42493,Katy_Perry,Female,America,Northern America,Culture,Culture-core,singer,27165910,222.0,52
494133,Q17515,Diego_Maradona,Male,America,South America,Sports/Games,Sports/Games,football,24206148,223.0,50
1324403,Q41173,Demi_Lovato,Female,America,Northern America,Culture,Culture-core,actor,32022980,226.5,51
570748,Q189490,Jennifer_Lawrence,Female,America,Northern America,Culture,Culture-core,actor,44577104,230.0,54
2274524,Q9582,Gerald_Ford,Male,America,Northern America,Leadership,Politics,politician,15087941,232.0,53
1336543,Q42207,Caravaggio,Male,Europe,Southern Europe,Culture,Culture-core,painter,8250219,236.0,80
1357078,Q43432,Justin_Timberlake,Male,America,Northern America,Culture,Culture-core,actor,26096052,238.0,54
229578,Q1541,Cicero,Male,Europe,Southern Europe,Leadership,Administration/Law,lawyer,9860713,239.0,59
901867,Q2680,Bruce_Willis,Male,America,Northern America,Culture,Culture-core,actor,25256764,242.0,60
1263736,Q37693,Paul_Gauguin,Male,Europe,Western Europe,Culture,Culture-core,painter,7208238,243.0,98
1323374,Q41076,Mariah_Carey,Female,America,Northern America,Culture,Culture-core,singer,24272400,247.0,50
1361903,Q43723,Benjamin_Netanyahu,Male,Asia,Western Asia (Middle East Caucasus),Leadership,Politics,politician,8530225,248.0,66
71633,Q11637,Judy_Garland,Female,America,Northern America,Culture,Culture-core,actor,16683441,249.0,58
1313032,Q40026,Sylvester_Stallone,Male,America,Northern America,Culture,Culture-core,actor,55005928,250.0,53
1416557,Q47152,Mary_Shelley,Female,Europe,Western Europe,Culture,Culture-core,writer,7444854,253.0,82
1403755,Q46896,Zlatan_Ibrahimović,Male,Europe,Northern Europe,Sports/Games,Sports/Games,football,47368240,256.5,50
533404,Q1835,Zinedine_Zidane,Male,Europe,Western Europe,Sports/Games,Sports/Games,football,32407696,256.5,48
1829549,Q6060,50_Cent,Male,America,Northern America,Culture,Culture-core,actor,19560162,259.0,56
1230565,Q36301,Anne_Hathaway,Female,America,Northern America,Culture,Culture-core,actor,26827990,260.0,64
1386903,Q4573,Sean_Connery,Male,Europe,Western Europe,Culture,Culture-core,actor,10209290,261.0,68
851778,Q25144,Kevin_Spacey,Male,America,Northern America,Culture,Culture-core,actor,26273686,262.0,67
220357,Q151892,Ariana_Grande,Female,America,Northern America,Culture,Culture-core,actor,66116360,264.0,51
1211330,Q35610,Arthur_Conan_Doyle,Male,Europe,Western Europe,Culture,Culture-core,writer,9714199,265.0,90
1056883,Q30449,Avril_Lavigne,Female,America,Northern America,Culture,Culture-core,singer,21935148,269.0,48
180687,Q142794,Neymar,Male,America,South America,Sports/Games,Sports/Games,football,49964584,277.0,47
1958501,Q66107,Henry_Kissinger,Male,Europe,Western Europe,Leadership,Politics,politician,11591323,280.0,59
1557947,Q5152,Mustafa_Kemal_Atatürk,Male,Asia,Western Asia (Middle East Caucasus),Leadership,Politics,politician,14967038,282.0,48
279218,Q15897,Amy_Winehouse,Female,Europe,Western Europe,Culture,Culture-core,singer,27930064,286.0,48
1318493,Q40531,John_Wayne,Male,America,Northern America,Culture,Culture-core,actor,16600369,287.0,55
1705782,Q5580,Albrecht_Dürer,Male,Europe,Western Europe,Culture,Culture-core,painter,5677862,288.0,110
1310656,Q39792,Jack_Nicholson,Male,America,Northern America,Culture,Culture-core,actor,20423836,289.0,52
39381,Q10738,Dwayne_Johnson,Male,America,Northern America,Culture,Culture-core,actor,66736868,292.0,52
1369538,Q44301,Jim_Morrison,Male,America,Northern America,Culture,Culture-core,singer,15164692,293.0,51
1323904,Q41142,Jane_Fonda,Female,America,Northern America,Culture,Culture-core,actor,18300528,296.0,67
1220375,Q360,Julian_Assange,Male,Oceania,Oceania Western World,Culture,Culture-periphery,journalist,13629825,298.0,53
112797,Q125121,Aretha_Franklin,Female,America,Northern America,Culture,Culture-core,singer,17415844,299.0,59
2222334,Q81328,Harrison_Ford,Male,America,Northern America,Culture,Culture-core,actor,31099748,302.0,51
1836618,Q6096,Snoop_Dogg,Male,America,Northern America,Culture,Culture-core,actor,25825310,306.0,56
95946,Q121507,Alicia_Keys,Female,America,Northern America,Culture,Culture-core,actor,14238101,312.0,56
504629,Q1779,Louis_Armstrong,Male,America,Northern America,Culture,Culture-core,actor,9332318,313.0,82
133243,Q130311,George_Michael,Male,Europe,Western Europe,Culture,Culture-core,singer,14888958,314.0,53
1342303,Q42511,H._G._Wells,Male,Europe,Western Europe,Culture,Culture-core,writer,6543175,317.5,84
648555,Q202765,Kate_Winslet,Female,Europe,Western Europe,Culture,Culture-core,actor,25842132,321.0,48
1366427,Q44063,Reese_Witherspoon,Female,America,Northern America,Culture,Culture-core,actor,22611066,323.5,54
1463365,Q483203,Sting_(musician),Male,Europe,Western Europe,Culture,Culture-core,actor,14396473,325.5,75
377421,Q1631,Édith_Piaf,Female,Europe,Western Europe,Culture,Culture-core,singer,10941881,325.5,64
1245123,Q37079,Tom_Cruise,Male,America,Northern America,Culture,Culture-core,actor,54546640,328.0,53
1636374,Q539,Giuseppe_Garibaldi,Male,Europe,Southern Europe,Leadership,Politics,politician,6166255,331.0,65
1273437,Q38082,Lewis_Carroll,Male,Europe,Western Europe,Culture,Culture-core,writer,7721365,332.0,120
1314149,Q40096,Will_Smith,Male,America,Northern America,Culture,Culture-core,actor,41485096,333.0,52
186478,Q144622,Phil_Collins,Male,Europe,Western Europe,Culture,Culture-core,actor,15028505,334.5,56
1202207,Q35236,Herbert_Hoover,Male,America,Northern America,Leadership,Politics,politician,7534686,338.0,60
512927,Q180338,Christopher_Lee,Male,Europe,Western Europe,Culture,Culture-core,actor,11441520,339.5,54
609254,Q19673,Al_Gore,Male,America,Northern America,Leadership,Politics,politician,8871258,343.0,54
1331621,Q41749,Joseph_Goebbels,Male,Europe,Western Europe,Leadership,Politics,politician,15918274,349.0,47
1709644,Q5589,Henri_Matisse,Male,Europe,Western Europe,Culture,Culture-core,painter,6501644,350.0,93
1387362,Q45765,Jack_London,Male,America,Northern America,Culture,Culture-core,writer,6958804,352.0,78
1353014,Q43252,Sophia_Loren,Female,Europe,Southern Europe,Culture,Culture-core,actor,13752516,359.0,55
97193,Q122020,Hilary_Duff,Female,America,Northern America,Culture,Culture-core,actor,13079689,361.0,55
1229903,Q36268,Brigitte_Bardot,Female,Europe,Western Europe,Culture,Culture-core,actor,10449316,364.0,53
