,wikidata_code,name,gender,un_region,un_subregion,level1_main_occ,level2_main_occ,level3_main_occ,wiki_readers_2015_2018,ranking_visib_5criteria,total_noccur_links_b
1052293,Q303,Elvis_Presley,Male,America,Northern America,Culture,Culture-core,actor,46304640,10.0,97
1706571,Q5582,Vincent_van_Gogh,Male,Europe,Western Europe,Culture,Culture-core,painter,34517964,13.0,100
857902,Q254,Wolfgang_Amadeus_Mozart,Male,Europe,Western Europe,Culture,Culture-core,composer,35450072,14.0,118
861393,Q255,Ludwig_van_Beethoven,Male,Europe,Western Europe,Culture,Culture-core,composer,32052194,17.0,114
1710992,Q5593,Pablo_Picasso,Male,Europe,Southern Europe,Culture,Culture-core,painter,36702848,18.5,125
2291069,Q9960,Ronald_Reagan,Male,America,Northern America,Culture,Culture-core,actor,37631824,20.0,81
2240770,Q882,Charlie_Chaplin,Male,Europe,Western Europe,Culture,Culture-core,film,30305712,23.0,92
1632773,Q5383,David_Bowie,Male,Europe,Western Europe,Culture,Culture-core,painter,55206424,32.0,111
487427,Q1744,Madonna_(entertainer),Female,America,Northern America,Culture,Culture-core,singer,33911644,32.0,95
1391415,Q4616,Marilyn_Monroe,Female,America,Northern America,Culture,Culture-core,actor,43262260,34.0,84
1301568,Q392,Bob_Dylan,Male,America,Northern America,Culture,Culture-core,singer,25598754,35.0,112
1704983,Q5577,Salvador_Dalí,Male,Europe,Southern Europe,Culture,Culture-core,painter,22196088,38.0,113
145017,Q1339,Johann_Sebastian_Bach,Male,Europe,Western Europe,Culture,Culture-core,composer,18185908,44.0,91
1623623,Q535,Victor_Hugo,Male,Europe,Western Europe,Culture,Culture-core,poet,16768493,47.0,129
431983,Q16867,Edgar_Allan_Poe,Male,America,Northern America,Culture,Culture-core,poet,19658572,48.0,106
2237163,Q8704,Walt_Disney,Male,America,Northern America,Culture,Culture-core,screenwriter,28157760,49.0,95
2252657,Q9068,Voltaire,Male,Europe,Western Europe,Culture,Culture-core,writer,16594192,51.0,104
2251626,Q905,Franz_Kafka,Male,Europe,Western Europe,Culture,Culture-core,novelist,16159249,53.0,101
1747348,Q5686,Charles_Dickens,Male,Europe,Western Europe,Culture,Culture-core,writer,16847468,54.0,107
1951265,Q6527,Jean-Jacques_Rousseau,Male,Europe,Western Europe,Culture,Culture-core,writer,16561200,55.0,90
903948,Q2685,Arnold_Schwarzenegger,Male,Europe,Western Europe,Culture,Culture-core,actor,49880844,56.0,72
118679,Q1268,Frédéric_Chopin,Male,Europe,Eastern Europe,Culture,Culture-core,composer,14326800,57.0,98
616407,Q19848,Lady_Gaga,Female,America,Northern America,Culture,Culture-core,singer,43217868,58.0,64
89929,Q11975,Britney_Spears,Female,America,Northern America,Culture,Culture-core,singer,27007422,59.0,76
784888,Q23434,Ernest_Hemingway,Male,America,Northern America,Culture,Culture-core,screenwriter,24832682,63.0,89
1789048,Q5879,Johann_Wolfgang_von_Goethe,Male,Europe,Western Europe,Culture,Culture-core,poet,13681840,64.0,138
170388,Q13909,Angelina_Jolie,Female,America,Northern America,Culture,Culture-core,actor,50690528,68.0,66
2244471,Q892,J._R._R._Tolkien,Male,Europe,Western Europe,Culture,Culture-core,writer,15893694,74.0,87
1240724,Q36844,Rihanna,Female,America,Caribbean,Culture,Culture-core,singer,39925984,76.5,66
2106867,Q7374,Alfred_Hitchcock,Male,Europe,Western Europe,Culture,Culture-core,film,13669537,76.5,88
1190218,Q34660,J._K._Rowling,Female,Europe,Western Europe,Culture,Culture-core,film,26357860,79.0,70
1321902,Q40912,Frank_Sinatra,Male,America,Northern America,Culture,Culture-core,actor,27605594,82.5,80
850928,Q25089,Woody_Allen,Male,America,Northern America,Culture,Culture-core,film,20565612,82.5,91
2289464,Q991,Fyodor_Dostoevsky,Male,Europe,Eastern Europe,Culture,Culture-core,novelist,12878684,85.0,95
2237779,Q873,Meryl_Streep,Female,America,Northern America,Culture,Culture-core,actor,28552612,86.0,69
1713944,Q5603,Andy_Warhol,Male,America,Northern America,Culture,Culture-core,film,20733836,87.0,112
1072371,Q30875,Oscar_Wilde,Male,Europe,Western Europe,Culture,Culture-core,poet,17013658,89.0,107
1310970,Q39829,Stephen_King,Male,America,Northern America,Culture,Culture-core,writer,28418496,90.0,77
2066475,Q7243,Leo_Tolstoy,Male,Europe,Eastern Europe,Culture,Culture-core,writer,16154057,92.0,100
